,BLUE,GREEN,RED,NIR,SWIR,TEMPERATURE,NDVI,EVI,NDMI,SAVI,GCI,BGR,ELEVATION,SLOPE,DISTANCE_DRAINAGES,DISTANCE_SHORELINE,LAND_COVER,Name,confidence,vegetation,species,geometry
0,0.07959250000000001,0.11399500000000001,0.14116499999999998,0.25243,0.23362,311.58495733999996,0.28268906474113464,0.18513603508472443,0.28268906474113464,0.18677085638046265,1.2143954038619995,0.6982104182243347,293.0,15.070867538452148,329.78131846099427,19050.70127880266,1.0,C1-13,High,1,Woodland,POINT Z (887879.759117292 1335040.5189334075 0)
1,0.06439875,0.08446000000000001,0.11127250000000002,0.18218125,0.18317125,313.93997312,0.2408009171485901,0.1294660121202469,0.2408009171485901,0.1337731033563614,1.1543948650360107,0.7624913454055786,239.0,3.3636093139648438,90.5839417837198,19643.45595497994,1.0,C1-14,High,1,Woodland,POINT Z (886489.3491270917 1334592.159469005 0)
2,0.09881500000000001,0.1304675,0.16049750000000002,0.25027125,0.24974875000000002,314.98759625,0.21874478459358215,0.1524444967508316,0.21874478459358215,0.1478547751903534,0.920443594455719,0.7571364045143127,130.0,10.54465389251709,342.5218948266939,16441.245358981763,1.0,C1-15,High,1,Woodland,POINT Z (890530.121329471 1333813.8487306521 0)
3,0.1041225,0.144355,0.17455,0.26829749999999997,0.25557874999999997,312.05151707000005,0.21133869886398315,0.1525944173336029,0.21133869886398315,0.14897775650024414,0.8577480316162109,0.7211701273918152,102.0,0.9274099469184875,208.96366552285843,15975.602730528512,1.0,C1-16,High,1,Woodland,POINT Z (890347.297498092 1333082.3502199582 0)
4,0.12065000000000001,0.16416875,0.19688000000000003,0.30716875,0.3001975,312.03100895,0.21858040988445282,0.17398586869239807,0.21858040988445282,0.16461989283561707,0.8701895475387573,0.7347639799118042,216.0,9.622092247009277,562.4107512929414,16730.982872792792,1.0,C1-17,High,1,Woodland,POINT Z (889319.3766546021 1333217.1870436082 0)
5,0.12419749999999999,0.1681975,0.20475875,0.31506125,0.3324275,313.42556111,0.2114744782447815,0.17127057909965515,0.2114744782447815,0.16189131140708923,0.8721868991851807,0.7378861904144287,143.0,7.987430572509766,366.66456251317874,15921.575269001823,1.0,C1-18,High,1,Woodland,POINT Z (890000.6755433448 1332732.8013674133 0)
6,0.09591833333333333,0.14263166666666666,0.1898766666666667,0.2850633333333334,0.2916725,312.99318158,0.2008044719696045,0.13978338241577148,0.2008044719696045,0.14651726186275482,0.9998832941055298,0.6730342507362366,144.0,7.300621032714844,43.565229613633775,16397.99923667971,1.0,C1-20,High,1,Woodland,POINT Z (889075.5084982275 1332565.0553301303 0)
7,0.07880416666666666,0.10643250000000003,0.13454666666666668,0.20969499999999996,0.1966416666666667,314.2099967,0.2184358835220337,0.1319054365158081,0.2184358835220337,0.13347652554512024,0.9727904200553894,0.7406845688819885,159.0,4.6273674964904785,122.32149782159135,16961.064659050833,1.0,C1-21,High,1,Woodland,POINT Z (888483.2719999293 1332801.033867926 0)
8,0.08302083333333334,0.11614000000000001,0.1451525,0.22118083333333335,0.19072,312.8029118,0.20769771933555603,0.12936832010746002,0.20769771933555603,0.13157975673675537,0.9058915972709656,0.7155770063400269,233.0,8.750250816345215,377.0552235942587,17916.217895265945,1.0,C1-27,High,1,Woodland,POINT Z (887126.339577924 1332771.3540308157 0)
9,0.10395750000000001,0.13706749999999998,0.16348125000000002,0.2746225,0.26429625,313.84426856,0.25335055589675903,0.1877521276473999,0.25335055589675903,0.17696520686149597,1.0018541812896729,0.7562662959098816,171.0,1.3263243436813354,378.4516677845726,18351.89139743494,1.0,C1-1,High,1,Woodland,POINT Z (890446.6474128882 1336060.9751878034 0)
10,0.13265375000000001,0.1696,0.2017475,0.30051375,0.28643375,310.15622498,0.20453225076198578,0.16294550895690918,0.20453225076198578,0.1489633172750473,0.817726731300354,0.7762219905853271,180.0,1.3262864351272583,284.5818284773499,17342.32576771296,1.0,C1-2,High,1,Woodland,POINT Z (889784.1379941767 1334395.6377160512 0)
11,0.07403749999999999,0.09867749999999999,0.13050416666666667,0.21349000000000004,0.19085749999999999,314.11884949999995,0.24160224199295044,0.14399836957454681,0.24160224199295044,0.1475539356470108,1.1668620109558105,0.7499595284461975,186.0,7.762449264526367,231.15994545630988,17829.504166751685,1.0,C1-4,High,1,Woodland,POINT Z (887937.7961195293 1333449.1349408561 0)
12,0.07806624999999998,0.1072025,0.13501875000000002,0.23329,0.21850875,311.84643587,0.267894446849823,0.16853800415992737,0.267894446849823,0.1698213368654251,1.1828947067260742,0.7285685539245605,425.0,4.215331077575684,102.71093956721346,20652.327775701855,1.0,C1-7,High,1,Woodland,POINT Z (886499.8174545309 1335961.6946081656 0)
13,0.10515375000000002,0.13713625000000002,0.163,0.25578500000000004,0.26046,308.23358872999995,0.22600623965263367,0.16042807698249817,0.22600623965263367,0.1523328423500061,0.9070159196853638,0.7569736242294312,411.0,3.7881205081939697,301.2082129864964,20004.805949799345,1.0,C1-8,High,1,Woodland,POINT Z (886755.293284587 1335354.8547218805 0)
14,0.0761,0.10637750000000001,0.132585,0.23356500000000002,0.21431499999999998,311.91308726,0.2757886052131653,0.17310956120491028,0.2757886052131653,0.17487733066082,1.1956241130828857,0.7153768539428711,251.0,3.9733147621154785,290.0618857941063,19102.397176497925,1.0,C1-9,High,1,Woodland,POINT Z (889297.0892419475 1336210.4270066863 0)
